institution,placement_page_url,verified_this_session,prior_contact,offer,status
IIT Madras,placement.iitm.ac.in,true,no,PDF inclusion + embed offer,not started
IIT (BHU) Varanasi,placement.iitbhu.ac.in,true,no,PDF inclusion + embed offer,not started
IIM Indore,iimidr.ac.in/placements,true,no,PDF inclusion (higher-CTC framing) + embed offer,not started
IIIT Lucknow,placements.iiitl.ac.in,true,no,PDF inclusion + embed offer,not started
Christ University Bangalore,christuniversity.in (placement section — confirm current URL before sending),false,yes — 2026-07-25 generic blast,Follow-up with First Offer Reality Guide as new value,not started
Manipal Academy of Higher Education,manipal.edu (placement section — confirm current URL before sending),false,yes — 2026-07-25 generic blast,Follow-up with First Offer Reality Guide as new value,not started
Vellore Institute of Technology,vit.ac.in (placement section — confirm current URL before sending),false,yes — 2026-07-25 generic blast,Follow-up with First Offer Reality Guide as new value,not started
IIT Bombay,iitb.ac.in (placement office — confirm current URL before sending),false,no,PDF inclusion + embed offer,not started
IIT Delhi,placement.iitd.ac.in (confirm current URL before sending),false,no,PDF inclusion + embed offer,not started
IIM Ahmedabad,iima.ac.in (Career Development Services — confirm current URL before sending),false,no,PDF inclusion (higher-CTC framing) + embed offer,not started
XLRI Jamshedpur,xlri.ac.in (placement office — confirm current URL before sending),false,no,PDF inclusion (higher-CTC framing) + embed offer,not started
ISB Hyderabad,isb.edu (Career Advancement Services — confirm current URL before sending),false,no,PDF inclusion (higher-CTC framing) + embed offer,not started
NMIMS Mumbai,nmims.edu (placement section — confirm current URL before sending),false,no,PDF inclusion + embed offer,not started
SRCC Delhi,srcc.edu (placement section — confirm current URL before sending),false,no,PDF inclusion + embed offer,not started
Symbiosis Institutes Pune,symbiosis.ac.in (placement section — confirm current URL before sending),false,no,PDF inclusion + embed offer,not started
