annual_ctc,employer_cost_share_pct,pf_scenario,annual_gross,employee_pf_annual,taxable_income_annual,monthly_in_hand,annual_tax_estimate,in_hand_as_pct_of_ctc
500000,0.08,statutory-ceiling,460000,21600,385000,36325,0,0.8718
500000,0.08,full-basic,460000,24840,385000,36055,0,0.8653
500000,0.13,statutory-ceiling,435000,21600,360000,34242,0,0.8218
500000,0.13,full-basic,435000,23490,360000,34084,0,0.8180
500000,0.18,statutory-ceiling,410000,21600,335000,32158,0,0.7718
500000,0.18,full-basic,410000,22140,335000,32113,0,0.7707
600000,0.08,statutory-ceiling,552000,21600,477000,43992,0,0.8798
600000,0.08,full-basic,552000,29808,477000,43308,0,0.8662
600000,0.13,statutory-ceiling,522000,21600,447000,41492,0,0.8298
600000,0.13,full-basic,522000,28188,447000,40943,0,0.8189
600000,0.18,statutory-ceiling,492000,21600,417000,38992,0,0.7798
600000,0.18,full-basic,492000,26568,417000,38578,0,0.7716
800000,0.08,statutory-ceiling,736000,21600,661000,59325,0,0.8899
800000,0.08,full-basic,736000,39744,661000,57813,0,0.8672
800000,0.13,statutory-ceiling,696000,21600,621000,55992,0,0.8399
800000,0.13,full-basic,696000,37584,621000,54660,0,0.8199
800000,0.18,statutory-ceiling,656000,21600,581000,52658,0,0.7899
800000,0.18,full-basic,656000,35424,581000,51506,0,0.7726
1000000,0.08,statutory-ceiling,920000,21600,845000,74658,0,0.8959
1000000,0.08,full-basic,920000,49680,845000,72318,0,0.8678
1000000,0.13,statutory-ceiling,870000,21600,795000,70492,0,0.8459
1000000,0.13,full-basic,870000,46980,795000,68377,0,0.8205
1000000,0.18,statutory-ceiling,820000,21600,745000,66325,0,0.7959
1000000,0.18,full-basic,820000,44280,745000,64435,0,0.7732
1200000,0.08,statutory-ceiling,1104000,21600,1029000,89992,0,0.8999
1200000,0.08,full-basic,1104000,59616,1029000,86824,0,0.8682
1200000,0.13,statutory-ceiling,1044000,21600,969000,84992,0,0.8499
1200000,0.13,full-basic,1044000,56376,969000,82094,0,0.8209
1200000,0.18,statutory-ceiling,984000,21600,909000,79992,0,0.7999
1200000,0.18,full-basic,984000,53136,909000,77364,0,0.7736
1500000,0.08,statutory-ceiling,1380000,21600,1305000,106427,78780,0.8514
1500000,0.08,full-basic,1380000,74520,1305000,102017,78780,0.8161
1500000,0.13,statutory-ceiling,1305000,21600,1230000,104142,31200,0.8331
1500000,0.13,full-basic,1305000,70470,1230000,100069,31200,0.8006
1500000,0.18,statutory-ceiling,1230000,21600,1155000,100492,0,0.8039
1500000,0.18,full-basic,1230000,66420,1155000,96757,0,0.7741
1800000,0.08,statutory-ceiling,1656000,21600,1581000,125839,121836,0.8389
1800000,0.08,full-basic,1656000,89424,1581000,120187,121836,0.8012
1800000,0.13,statutory-ceiling,1566000,21600,1491000,119509,107796,0.7967
1800000,0.13,full-basic,1566000,84564,1491000,114262,107796,0.7617
1800000,0.18,statutory-ceiling,1476000,21600,1401000,113179,93756,0.7545
1800000,0.18,full-basic,1476000,79704,1401000,108337,93756,0.7222
2000000,0.08,statutory-ceiling,1840000,21600,1765000,138065,159120,0.8284
2000000,0.08,full-basic,1840000,99360,1765000,131585,159120,0.7895
2000000,0.13,statutory-ceiling,1740000,21600,1665000,131465,138320,0.7888
2000000,0.13,full-basic,1740000,93960,1665000,125435,138320,0.7526
2000000,0.18,statutory-ceiling,1640000,21600,1565000,124713,119340,0.7483
2000000,0.18,full-basic,1640000,88560,1565000,119133,119340,0.7148
2500000,0.08,statutory-ceiling,2300000,21600,2225000,167450,266500,0.8038
2500000,0.08,full-basic,2300000,124200,2225000,158900,266500,0.7627
2500000,0.13,statutory-ceiling,2175000,21600,2100000,159742,234000,0.7668
2500000,0.13,full-basic,2175000,117450,2100000,151754,234000,0.7284
2500000,0.18,statutory-ceiling,2050000,21600,1975000,151925,202800,0.7292
2500000,0.18,full-basic,2050000,110700,1975000,144500,202800,0.6936
3000000,0.08,statutory-ceiling,2760000,21600,2685000,194582,400920,0.7783
3000000,0.08,full-basic,2760000,149040,2685000,183962,400920,0.7358
3000000,0.13,statutory-ceiling,2610000,21600,2535000,185982,354120,0.7439
3000000,0.13,full-basic,2610000,140940,2535000,176037,354120,0.7041
3000000,0.18,statutory-ceiling,2460000,21600,2385000,177317,308100,0.7093
3000000,0.18,full-basic,2460000,132840,2385000,168047,308100,0.6722
4000000,0.08,statutory-ceiling,3680000,21600,3605000,247328,687960,0.7420
4000000,0.08,full-basic,3680000,198720,3605000,232568,687960,0.6977
4000000,0.13,statutory-ceiling,3480000,21600,3405000,235862,625560,0.7076
4000000,0.13,full-basic,3480000,187920,3405000,222002,625560,0.6660
4000000,0.18,statutory-ceiling,3280000,21600,3205000,224395,563160,0.6732
4000000,0.18,full-basic,3280000,177120,3205000,211435,563160,0.6343
5000000,0.08,statutory-ceiling,4600000,21600,4525000,300075,975000,0.7202
5000000,0.08,full-basic,4600000,248400,4525000,281175,975000,0.6748
5000000,0.13,statutory-ceiling,4350000,21600,4275000,285742,897000,0.6858
5000000,0.13,full-basic,4350000,234900,4275000,267967,897000,0.6431
5000000,0.18,statutory-ceiling,4100000,21600,4025000,271408,819000,0.6514
5000000,0.18,full-basic,4100000,221400,4025000,254758,819000,0.6114
